,prices.isSale,prices.dateSeenYear,prices.dateSeenMonth,prices.dateSeenWeek,prices.dateSeenIs_month_start,prices.dateSeenIs_year_end,brand_Alfani,brand_Asics,brand_Bearpaw,brand_Bloch,brand_Brinley Co.,brand_Charles by Charles David,brand_Converse,brand_Crocs,brand_Dansko,brand_Easy Spirit,brand_MICHAEL Michael Kors,brand_New Balance,brand_Nike,brand_Nine West,brand_Nomad,brand_Propet,brand_Telic,brand_Ugg,brand_Under Armour,brand_VANS,manufacturer_Alfani,manufacturer_Bearpaw,manufacturer_Bloch,manufacturer_Brinley Co,manufacturer_Charles by Charles David,manufacturer_Converse,manufacturer_Crocs,manufacturer_DANSKO,manufacturer_Dansko,manufacturer_MICHAEL Michael Kors,manufacturer_New Balance,manufacturer_Nike,manufacturer_Nine West,manufacturer_Nomad,manufacturer_Novascarpa Group LLC,manufacturer_Pleaser Shoes,manufacturer_Propet,manufacturer_Toms,manufacturer_UGG Australia,manufacturer_Under Armour,manufacturer_VANS,manufacturer_asics,manufacturer_other,manufacturerNumber_00004902,manufacturerNumber_00007-000,manufacturerNumber_5825,manufacturerNumber_6020202,manufacturerNumber_806020202,manufacturerNumber_Anna,manufacturerNumber_Flip,manufacturerNumber_W5668,manufacturerNumber_other,prices.merchant_Overstock.com,prices.merchant_Shoes.com,prices.merchant_Walmart,prices.merchant_other,categories_Athletic,categories_Boots,categories_Flats,categories_Heels,categories_Sandals,categories_Slip-ons,categories_Slippers,categories_Sneakers,categories_other,colors_Beige,colors_Blue,colors_Brown,colors_Gray,colors_Green,colors_Pink,colors_Red,colors_Silver,colors_White,colors_nan_value,prices.currency_AUD
manufacturer_Under Armour,-0.070080865,0.002606491,-0.099467578,-0.000507503,-0.023352663,-0.004662979,-0.000740935,-0.002403274,-0.004004485,-0.000847621,-0.000740935,-0.002330248,-0.002082007,-0.00350241,-0.02002972,-0.00652666,-0.000827824,-0.008092781,-0.023953063,-0.00906536,-0.024987341,-0.004744066,-0.005020398,-0.004744066,0,-0.000754293,-0.000740935,-0.003284071,-0.000847621,-0.000655446,-0.002330248,-0.002082007,-0.00350241,-0.005020398,-0.002973769,-0.000827824,-0.008092781,-0.023953063,-0.009220364,-0.02458674,-0.005020398,-0.000303207,-0.004744066,-0.007908297,-0.004950779,0,-0.0038852,-0.002403274,-0.099900526,-0.0004806,-0.003800402,-0.004744066,-0.002973769,-0.005020398,-0.002330248,-0.005020398,-0.024407046,0.0473483,0.04850244,-0.007083258,-0.0240509,-0.006776082,0.307777456,-0.035766203,-0.007842504,-0.009354623,-0.030433973,-0.022548062,-0.020008063,-0.004320644,-0.026089794,-0.009439028,0.066976248,-0.029002429,-0.007742299,-0.005952653,0.0300297,-0.006776082,-0.020293336,-0.02547028,-0.028435655,-0.000404639
manufacturer_VANS,0.000205235,0.006750877,0.002009885,0.005943406,0.040097661,-0.00607367,-0.005294226,-0.006068665,-0.008370509,-0.004029354,-0.005294226,-0.006060823,-0.005737092,-0.007600336,-0.026089307,-0.020526476,-0.005406099,-0.023566396,-0.03009971,-0.024963463,-0.032546769,-0.009204723,-0.009564523,-0.009204723,-0.0038852,0.774504056,-0.005294226,-0.007302904,-0.004029354,-0.005080571,-0.006060823,-0.005737092,-0.007600336,-0.009564523,-0.006898727,-0.005406099,-0.023566396,-0.03009971,-0.025035006,-0.032024975,-0.009564523,-0.00472277,-0.009204723,-0.023339024,-0.009475045,-0.0038852,0,-0.006068665,-0.03002476,-0.004953844,-0.00798977,-0.009204723,-0.006898727,-0.009564523,-0.006060823,-0.009564523,-0.030790906,0.060672595,0.00335954,-0.02225046,0.003057642,-0.020850355,0.050742634,-0.046586575,-0.000205099,-0.002084679,-0.039640071,-0.029369533,-0.027506906,-0.008653073,-0.007057479,0.0363047,0.000396201,-0.03255658,-0.023009881,0.062769331,-0.020444565,-0.00300208,-0.026432685,0.033090087,-0.005049086,-0.000829585
manufacturer_asics,-0.069520661,-0.00500222,-0.023486535,-0.023939458,0.000832923,-0.005429806,-0.003672922,0,-0.006423999,-0.002630536,-0.003672922,-0.004359049,-0.00406893,-0.005734567,-0.023323652,-0.009244507,-0.003772936,-0.02006808,-0.027892304,-0.022307047,-0.029096566,-0.007068878,-0.007490536,-0.007068878,-0.002403274,-0.00252286,-0.003672922,-0.005468666,-0.002630536,-0.00357221,-0.004359049,-0.00406893,-0.005734567,-0.007490536,-0.005007334,-0.003772936,-0.02006808,-0.027892304,-0.022380096,-0.028630086,-0.007490536,-0.003062045,-0.007068878,-0.020865,-0.007400633,-0.002403274,-0.006068665,0,-0.006330555,-0.003368624,-0.006082708,-0.007068878,-0.005007334,-0.007490536,-0.004359049,-0.007490536,-0.028420839,0.055034835,0.03807974,0.064305202,-0.088952681,-0.009534947,0.370036668,-0.040648047,-0.009032221,-0.000893,-0.035438908,-0.02625604,-0.024590976,-0.006675706,-0.046940987,-0.02263581,-0.026479004,-0.033900034,-0.02066006,0.064098795,-0.00907028,0.03827778,0.034025994,-0.029658924,-0.033000961,-0.000635636
manufacturer_other,0.083975344,-0.065600704,0.070585674,0.06994441,-0.00373098,0.046675754,-3.90229E-05,-0.006330555,-0.000805949,-0.000658088,-0.006740946,-0.005560847,-0.003226085,-0.026630057,-0.087707806,-0.054879003,-0.000844028,-0.069555857,-0.224476209,-0.079607495,-0.209590757,-0.038074428,-0.040763009,-0.038074428,-0.099900526,-0.00078347,-3.90229E-05,-0.024490095,-0.000658088,-0.00922859,-0.005560847,-0.003226085,-0.026630057,-0.040763009,-0.020583202,-0.000844028,-0.069555857,-0.224476209,-0.080022954,-0.230403767,-0.040763009,-0.005927603,-0.038074428,-0.06792068,-0.040020065,-0.099900526,-0.03002476,-0.006330555,0,-0.007590039,-0.029433062,-0.038074428,-0.020583202,-0.040763009,-0.005560847,-0.040763009,-0.228729754,0.443722909,-0.329040233,0.020547866,0.294898791,-0.000493023,-0.257675034,-0.044822034,0.029470703,0.093638437,-0.046266776,-0.079330924,3.92629E-05,-0.004273209,0.354967041,0.045906782,-0.040339488,0.039709308,0.084420409,0.046807263,-0.06380055,-0.090720095,0.042677889,-0.082637453,0.067469478,0.00406024
manufacturerNumber_00004902,-0.07665908,-0.225038096,0.008006593,9.38684E-05,0.045308554,-0.005020851,-0.002645607,-0.003368624,-0.005089993,-0.000682474,-0.002645607,-0.003280284,-0.003000871,-0.00455236,-0.020570246,-0.007798585,-0.002738006,-0.009485237,-0.025796644,-0.020640364,-0.026900406,-0.005878906,-0.006076396,-0.005878906,-0.0004806,-0.000580964,-0.002645607,-0.004306439,-0.000682474,-0.00255247,-0.003280284,-0.003000871,-0.00455236,-0.006076396,-0.003972255,-0.002738006,-0.009485237,-0.025796644,-0.0206996,-0.026478984,-0.006076396,-0.002073024,-0.005878906,0.640720003,-0.006002497,-0.0004806,-0.004953844,-0.003368624,-0.007590039,0,-0.004874354,-0.005878906,-0.003972255,-0.006076396,-0.003280284,-0.006076396,-0.026285459,-0.242470455,-0.055304,-0.008398009,0.0643248,-0.008067201,-0.036027835,-0.038508849,-0.008446078,-7.45725E-05,-0.03277623,-0.024283404,-0.02274335,0.800682602,-0.035900602,-0.020935093,-0.024489531,-0.030352978,-0.009007781,-0.0070804,-0.007730859,-0.008067201,0.07400759,-0.02743052,-0.030624007,-0.000502743
manufacturerNumber_00007-000,-0.062090293,0.059743441,-0.085460591,-0.085040474,-0.030255861,-0.006040386,-0.005202927,-0.006082708,-0.008273862,-0.004054247,-0.005202927,-0.005976444,-0.005653539,-0.007506778,-0.025950635,-0.020402049,-0.005324205,-0.023440025,-0.030033873,-0.024830765,-0.03237376,-0.009002637,-0.009460524,-0.009002637,-0.003800402,-0.00393333,-0.005202927,-0.007200928,-0.004054247,-0.005000871,-0.005976444,-0.005653539,-0.007506778,-0.009460524,-0.006808899,-0.005324205,-0.023440025,-0.030033873,-0.024902028,-0.030854741,-0.009460524,-0.004644508,-0.009002637,-0.023205061,-0.009370621,-0.003800402,-0.00798977,-0.006082708,-0.029433062,-0.004874354,0,-0.009002637,-0.006808899,-0.009460524,-0.005976444,-0.009460524,-0.030620926,-0.290697949,0.080630508,0.020583086,-0.066265047,-0.020735201,-0.043462499,-0.046338937,-6.0799E-05,-0.00200991,-0.039430451,-0.029203405,0.654008958,-0.008553909,-0.0634923,-0.025085331,0.097906092,-0.037708251,-0.022987037,-0.02066836,0.050704828,-0.020735201,-0.026292078,0.082050557,-0.036840408,-0.00080986
manufacturerNumber_5825,0.00340075,0.007787005,-0.000938838,-0.020203299,0.040440789,-0.006449396,-0.006240344,-0.007068878,-0.009508002,-0.005003402,-0.006240344,-0.007055426,-0.006700703,-0.008689002,-0.027703231,-0.022858029,-0.006359038,-0.02502424,-0.03302977,-0.02650773,-0.034560049,-0.020392749,-0.020774806,0,-0.004744066,-0.00487433,-0.006240344,-0.008373281,-0.005003402,-0.00602072,-0.007055426,-0.006700703,-0.008689002,-0.020774806,-0.007944,-0.006359038,-0.02502424,-0.03302977,-0.026583806,-0.034006076,-0.020774806,-0.005633537,-0.020392749,-0.024782909,0.986004505,-0.004744066,-0.009204723,-0.007068878,-0.038074428,-0.005878906,-0.009002637,0,-0.007944,-0.020774806,-0.007055426,-0.020774806,-0.033757538,-0.300398004,-0.030248497,-0.023627961,0.046002939,-0.023203005,-0.046397774,0.402237282,-0.000847007,-0.002938438,-0.042093409,-0.030086366,-0.029208525,-0.009806973,-0.074533896,0.038560069,0.025202806,-0.040265584,-0.024539485,-0.022064204,-0.022770051,-0.023203005,-0.028067841,-0.035228004,-0.039329533,-0.000942766
manufacturerNumber_6020202,-0.08662929,0.05545261,-0.029055057,-0.025434395,-0.028420905,-0.005674988,-0.004290294,-0.005007334,-0.00706559,-0.003200886,-0.004290294,-0.005007506,-0.004704084,-0.006445028,0.647725924,-0.020003451,-0.004394823,-0.022009469,-0.029050731,-0.02332483,-0.030400359,-0.007944,-0.008280283,-0.007944,-0.002973769,-0.003088303,-0.004290294,-0.006067021,-0.003200886,-0.004085034,-0.005007506,-0.004704084,-0.006445028,-0.008280283,0,-0.004394823,-0.022009469,-0.029050731,-0.023390771,-0.029922806,-0.008280283,-0.003756349,-0.007944,-0.020807006,-0.008096773,-0.002973769,-0.006898727,-0.005007334,-0.020583202,-0.003972255,-0.006808899,-0.007944,0,-0.008280283,-0.005007506,-0.008280283,-0.029704021,-0.274007066,0.252598437,-0.020790848,-0.207204027,-0.020407005,-0.040826587,-0.043528575,-0.009544567,-0.000384861,-0.037039076,0.575382889,-0.025700328,-0.007428662,-0.053576838,-0.023657891,-0.027674607,-0.035430707,-0.020592921,-0.009404866,-0.020036908,-0.020407005,-0.024697601,0.00409365,-0.034607061,-0.000709489
manufacturerNumber_806020202,-0.00029507,0.079975468,-0.052830698,-0.048847904,-0.032904339,-0.006570225,-0.006544606,-0.007490536,-0.009873483,-0.0052845,-0.006544606,-0.007374959,-0.007023787,-0.009039251,0.749905501,-0.023286375,-0.006665625,-0.025493068,-0.033750455,-0.027004352,-0.035207631,-0.020774806,-0.02006402,-0.020774806,-0.005020398,-0.005053,-0.006544606,-0.008707504,-0.0052845,-0.006422741,-0.007374959,-0.007023787,-0.009039251,0,-0.008280283,-0.006665625,-0.025493068,-0.033750455,-0.027080852,-0.034643078,-0.02006402,-0.005926431,-0.020774806,-0.025247206,-0.020067337,-0.005020398,-0.009564523,-0.007490536,-0.040763009,-0.006076396,-0.009460524,-0.020774806,-0.008280283,0,-0.007374959,-0.02006402,-0.034389984,-0.307232029,0.27940705,-0.024070631,-0.239492867,-0.023637804,-0.047267033,-0.050395263,-5.02351E-05,-0.003080838,-0.042882037,0.66605027,-0.029755746,-0.020078056,-0.077803779,-0.027389954,-0.032040323,-0.040009958,-0.02499923,-0.022477586,-0.023097767,-0.023637804,-0.02859369,-0.035888,-0.04006637,-0.000979063
manufacturerNumber_Anna,-0.06888757,0.026773098,-0.024360583,-0.020527957,-0.02700337,-0.005393936,-0.003582572,-0.004359049,-0.00630547,-0.002548067,-0.003582572,0,-0.003975964,-0.005630594,-0.023069531,-0.00900734,-0.003680925,-0.020928962,-0.027708003,-0.022069677,-0.028904297,-0.007055426,-0.007374959,-0.007055426,-0.002330248,-0.00244001,-0.003582572,-0.00536645,-0.002548067,-0.003482525,0,-0.003975964,-0.005630594,-0.007374959,-0.005007506,-0.003680925,-0.020928962,-0.027708003,-0.022233301,-0.028440899,-0.007374959,-0.003075071,-0.007055426,-0.020727026,-0.007295584,-0.002330248,-0.006060823,-0.004359049,-0.005560847,-0.003280284,-0.005976444,-0.007055426,-0.005007506,-0.007374959,0,-0.007374959,-0.028233035,-0.260436964,0.224325374,-0.009760089,-0.090954074,-0.00940586,-0.038804665,-0.040372838,-0.009070876,-0.000820031,0.405080349,-0.026082641,-0.024428479,-0.006565504,-0.045971,-0.022486243,-0.026304041,0.080636307,-0.020523539,-0.008453352,-0.009044597,-0.00940586,-0.02347447,0.09893845,-0.032893059,-0.000624827
