,prices.isSale,prices.dateSeenYear,prices.dateSeenMonth,prices.dateSeenWeek,prices.dateSeenIs_month_start,prices.dateSeenIs_year_end,brand_Alfani,brand_Asics,brand_Bearpaw,brand_Bloch,brand_Brinley Co.,brand_Charles by Charles David,brand_Converse,brand_Crocs,brand_Dansko,brand_Easy Spirit,brand_MICHAEL Michael Kors,brand_New Balance,brand_Nike,brand_Nine West,brand_Nomad,brand_Propet,brand_Telic,brand_Ugg,brand_Under Armour,brand_VANS,manufacturer_Alfani,manufacturer_Bearpaw,manufacturer_Bloch,manufacturer_Brinley Co,manufacturer_Charles by Charles David,manufacturer_Converse,manufacturer_Crocs,manufacturer_DANSKO,manufacturer_Dansko,manufacturer_MICHAEL Michael Kors,manufacturer_New Balance,manufacturer_Nike,manufacturer_Nine West,manufacturer_Nomad,manufacturer_Novascarpa Group LLC,manufacturer_Pleaser Shoes,manufacturer_Propet,manufacturer_Toms,manufacturer_UGG Australia,manufacturer_Under Armour,manufacturer_VANS,manufacturer_asics,manufacturer_other,manufacturerNumber_00004902,manufacturerNumber_00007-000,manufacturerNumber_5825,manufacturerNumber_6020202,manufacturerNumber_806020202,manufacturerNumber_Anna,manufacturerNumber_Flip,manufacturerNumber_W5668,manufacturerNumber_other,prices.merchant_Overstock.com,prices.merchant_Shoes.com,prices.merchant_Walmart,prices.merchant_other,categories_Athletic,categories_Boots,categories_Flats,categories_Heels,categories_Sandals,categories_Slip-ons,categories_Slippers,categories_Sneakers,categories_other,colors_Beige,colors_Blue,colors_Brown,colors_Gray,colors_Green,colors_Pink,colors_Red,colors_Silver,colors_White,colors_nan_value,prices.currency_AUD
manufacturerNumber_Flip,-0.055820953,0.000608987,-0.027202891,-0.024674023,-0.032904339,-0.006570225,-0.006544606,-0.007490536,-0.009873483,-0.0052845,-0.006544606,-0.007374959,-0.007023787,-0.009039251,-0.02822225,-0.023286375,-0.006665625,-0.025493068,-0.033750455,-0.027004352,-0.035207631,-0.020774806,0,-0.020774806,-0.005020398,-0.005053,-0.006544606,-0.008707504,-0.0052845,-0.006422741,-0.007374959,-0.007023787,-0.009039251,-0.02006402,-0.008280283,-0.006665625,-0.025493068,-0.033750455,-0.027080852,-0.034643078,0,-0.005926431,-0.020774806,-0.025247206,-0.020067337,-0.005020398,-0.009564523,-0.007490536,-0.040763009,-0.006076396,-0.009460524,-0.020774806,-0.008280283,-0.02006402,-0.007374959,0,-0.034389984,-0.307232029,-0.072368948,-0.024070631,0.084057893,-0.023637804,-0.047267033,-0.050395263,-5.02351E-05,-0.003080838,0.49354048,-0.03077064,-0.029755746,-0.020078056,-0.077803779,-0.027389954,0.000246054,-0.00620968,-0.02499923,0.037774832,0.035272724,-0.023637804,-0.02859369,-0.035888,-0.04006637,-0.000979063
manufacturerNumber_W5668,-0.006985027,0.274504946,-0.242660052,-0.243920268,-0.053467039,-0.000676034,-0.026883772,-0.028420839,-0.032292954,-0.024836093,-0.026883772,-0.028233035,-0.027662407,-0.030937389,-0.045859089,-0.037838652,-0.02708041,-0.040424367,-0.054842006,-0.043880093,0.976776393,-0.033757538,-0.034389984,-0.033757538,-0.024407046,-0.024622504,-0.026883772,-0.030404573,-0.024836093,-0.026685751,-0.028233035,-0.027662407,-0.030937389,-0.034389984,-0.029704021,-0.02708041,-0.040424367,-0.054842006,-0.044006026,0.992690353,-0.034389984,-0.025879283,-0.033757538,-0.040024876,-0.034232878,-0.024407046,-0.030790906,-0.028420839,-0.228729754,-0.026285459,-0.030620926,-0.033757538,-0.029704021,-0.034389984,-0.028233035,-0.034389984,0,-0.505478803,0.420302872,-0.039003001,-0.359055838,-0.038409705,-0.076805466,0.682405083,-0.007955822,-0.020407897,-0.069680068,-0.050624964,-0.048350906,-0.032787862,-0.288908003,-0.044506669,0.034505872,-0.066654425,-0.040620909,-0.036524431,0.079240038,-0.038409705,-0.046462651,0.009882269,-0.065004905,-0.003205995
manufacturerNumber_other,0.220008796,-0.323635891,0.36007824,0.35938009,0.056059371,0.0207,0.052053002,0.055034835,0.062646522,0.048080823,0.052053002,-0.260436964,0.05366351,0.060006802,-0.423029334,0.073404866,0.052534497,0.080360952,0.006390438,0.085024923,-0.499964334,0.065487733,-0.307232029,-0.300398004,0.0473483,0.047766298,0.052053002,0.059002568,0.048080823,0.05076886,-0.260436964,0.05366351,0.060006802,-0.307232029,-0.274007066,0.052534497,0.080360952,0.006390438,0.085369225,-0.500605324,-0.307232029,0.050204359,0.065487733,-0.000739629,-0.305453273,0.0473483,0.060672595,0.055034835,0.443722909,-0.242470455,-0.290697949,-0.300398004,-0.274007066,-0.307232029,-0.260436964,-0.307232029,-0.505478803,0,-0.504042781,0.060704659,0.423057242,0.074502696,0.0489983,-0.46326908,0.03483329,0.04054951,-0.203373908,-0.359069264,-0.042525731,-0.073255607,0.560484954,0.062067208,-0.030527379,0.080692204,0.078804248,0.048200089,-0.077623761,0.074502696,0.033358309,-0.056987661,0.026299887,0.006238851
prices.merchant_Overstock.com,-0.297273899,0.575044041,-0.503536758,-0.505339745,-0.008200951,-0.022466442,-0.056573068,0.03807974,-0.06795604,-0.052264321,-0.056573068,0.224325374,0.042779926,-0.065003443,0.380049053,-0.079626093,-0.056986985,-0.087070833,0.097488021,-0.092339568,0.423579995,0.034540323,-0.072368948,-0.030248497,0.04850244,-0.050804664,-0.056573068,-0.064003249,-0.052264321,-0.056056459,0.224325374,0.042779926,-0.065003443,0.27940705,0.252598437,-0.056986985,-0.087070833,0.097488021,-0.092604575,0.406926842,-0.072368948,-0.054459359,0.034540323,-0.086330059,-0.032779044,0.04850244,0.00335954,0.03807974,-0.329040233,-0.055304,0.080630508,-0.030248497,0.252598437,0.27940705,0.224325374,-0.072368948,0.420302872,-0.504042781,0,-0.082307904,-0.859908731,-0.080827906,0.229966587,0.300779961,-0.007063085,-0.039907244,0.032270201,0.406747228,0.07306336,0.029892357,-0.607988077,-0.0808977,0.006363646,-0.026563346,-0.085483092,-0.067635403,0.054962,0.08332748,-0.083060244,0.062869541,-0.084435509,-0.006767606
prices.merchant_Shoes.com,0.0088706,-0.290950021,0.025840055,0.029305076,-0.026743374,-0.007472561,-0.008806797,0.064305202,-0.022602854,-0.007383632,-0.008806797,-0.009760089,-0.009360788,-0.002724069,-0.032098208,0.007689005,-0.008954437,0.080503502,-0.038385651,-0.030703057,-0.040042953,-0.023627961,-0.024070631,-0.023627961,-0.007083258,-0.007234071,-0.008806797,-0.020288006,-0.007383632,-0.008678096,-0.009760089,-0.009360788,-0.002724069,-0.024070631,-0.020790848,-0.008954437,0.080503502,-0.038385651,-0.030800201,-0.039400979,-0.024070631,-0.008003723,-0.023627961,-0.0287046,-0.023960668,-0.007083258,-0.02225046,0.064305202,0.020547866,-0.008398009,0.020583086,-0.023627961,-0.020790848,-0.024070631,-0.009760089,-0.024070631,-0.039003001,0.060704659,-0.082307904,0,-0.286007506,-0.026884067,0.028346527,-0.020066886,0.039575048,0.000580801,0.027490327,-0.036033935,0.002978954,-0.022949255,-0.026389345,-0.002094034,-0.003609771,0.028029524,0.005987043,-0.025564597,-0.008994722,0.030082095,-0.020377003,-0.000287404,-0.045568976,-0.002250976
prices.merchant_Walmart,0.264520235,-0.335098906,0.465099202,0.4563459,0.022906281,0.026026239,0.006355239,-0.088952681,0.079026021,-0.07340007,0.065788971,-0.090954074,-0.007222242,0.072390795,-0.326204671,0.076084092,0.066270099,0.023527092,-0.06553975,0.007380738,-0.360462577,-0.006527298,0.084057893,0.046002939,-0.0240509,0.060255304,0.006355239,0.074429406,-0.07340007,0.065304379,-0.090954074,-0.007222242,0.072390795,-0.239492867,-0.207204027,0.066270099,0.023527092,-0.06553975,0.007689905,-0.354800305,0.084057893,0.063330821,-0.006527298,0.000394555,0.047654024,-0.0240509,0.003057642,-0.088952681,0.294898791,0.0643248,-0.066265047,0.046002939,-0.207204027,-0.239492867,-0.090954074,0.084057893,-0.359055838,0.423057242,-0.859908731,-0.286007506,0,-0.28087459,-0.258028976,-0.27720044,-0.040854871,0.038060803,-0.009037053,-0.357030731,-0.064345708,-0.00074358,0.575492689,0.083087405,-0.020965093,0.009470266,0.06605697,0.072406494,-0.060500395,-0.078606907,0.088885234,-0.050067422,0.09760604,0.007870064
prices.merchant_other,0.005555339,-0.234005471,-0.006020567,-0.006327651,-0.036750408,-0.007338097,0.0068722,-0.009534947,-0.022096429,0.624004526,-0.00847845,-0.00940586,-0.009003641,-0.020264687,-0.030520056,-0.026008241,-0.008603605,-0.028472868,-0.027075784,-0.030060801,-0.039322936,-0.023203005,-0.023637804,-0.023203005,-0.006776082,-0.006924084,0.0068722,-0.020905331,0.624004526,-0.008342341,-0.00940586,-0.009003641,-0.020264687,-0.023637804,-0.020407005,-0.008603605,-0.028472868,-0.027075784,-0.030247361,-0.038692505,-0.023637804,-0.007788008,-0.023203005,-0.02809828,-0.023529828,-0.006776082,-0.020850355,-0.009534947,-0.000493023,-0.008067201,-0.020735201,-0.023203005,-0.020407005,-0.023637804,-0.00940586,-0.023637804,-0.038409705,0.074502696,-0.080827906,-0.026884067,-0.28087459,0,0.098355903,0.009300845,-0.002340861,-0.004720503,-0.034963661,-0.035484206,-0.020325469,-0.022536602,-0.007308501,-0.000305006,0.009864765,0.002364207,0.028005334,-0.000866303,0.049260847,-0.02640076,-0.003404647,-0.009975426,-0.008209075,-0.0022005
categories_Athletic,-0.083572979,0.040297251,-0.06387235,-0.063297367,-0.055929498,-0.004673725,-0.036950082,0.370036668,-0.044384789,0.08400009,-0.036950082,-0.038804665,0.229252698,-0.042520643,-0.063030652,-0.052007028,-0.037220463,-0.053230802,0.508003556,-0.060300638,-0.078630575,-0.009402342,-0.047267033,-0.046397774,0.307777456,-0.005509884,-0.036950082,-0.040803063,0.08400009,-0.036678003,-0.038804665,0.229252698,-0.042520643,-0.047267033,-0.040826587,-0.037220463,-0.053230802,0.508003556,-0.060483725,-0.077370943,-0.047267033,-0.03556957,-0.009402342,-0.056386307,-0.04705,0.307777456,0.050742634,0.370036668,-0.257675034,-0.036027835,-0.043462499,-0.046397774,-0.040826587,-0.047267033,-0.038804665,-0.047267033,-0.076805466,0.0489983,0.229966587,0.028346527,-0.258028976,0.098355903,0,-0.002550034,-0.024679234,-0.029437654,-0.09577034,-0.070955501,-0.06645551,-0.045065,-0.39700005,-0.023079453,0.04535,-0.090602633,-0.055832467,-0.006820047,0.06056793,0.050064369,-0.040568685,0.006497888,-0.057506908,-0.004420098
categories_Boots,-0.00590229,0.209890557,-0.205042782,-0.200358367,-0.003277039,-0.005644863,-0.039395621,-0.040648047,0.0730344,-0.036395088,-0.039395621,-0.040372838,-0.040536637,-0.045335803,-0.067202051,-0.050605452,-0.03968379,-0.060703486,-0.080365778,-0.06430201,0.688062022,-0.049468474,-0.050395263,0.402237282,-0.035766203,-0.036080961,-0.039395621,0.049972061,-0.036395088,-0.039005439,-0.040372838,-0.040536637,-0.045335803,-0.050395263,-0.043528575,-0.03968379,-0.060703486,-0.080365778,-0.064486662,0.676809664,-0.050395263,-0.020332046,-0.049468474,-0.060008069,0.403823921,-0.035766203,-0.046586575,-0.040648047,-0.044822034,-0.038508849,-0.046338937,0.402237282,-0.043528575,-0.050395263,-0.040372838,-0.050395263,0.682405083,-0.46326908,0.300779961,-0.020066886,-0.27720044,0.009300845,-0.002550034,0,-0.026302557,-0.030385899,-0.002009685,-0.075650494,-0.070853673,-0.048047506,-0.423382024,-0.029025974,0.029093304,-0.030249694,-0.052358662,-0.053523093,0.029405288,-0.056285799,-0.068086604,-0.023707008,-0.074370893,-0.004702736
categories_Flats,-0.005076394,-0.03279303,-0.006690544,-0.006705055,-0.007080032,-0.003430469,-0.008638329,-0.009032221,-0.000376405,-0.007980398,-0.008638329,-0.009070876,-0.00888852,0.028045066,-0.004735503,0.003440304,-0.008700506,-0.003300533,-0.007620909,-0.00409961,-0.008382736,-0.000847007,-5.02351E-05,-0.000847007,-0.007842504,-0.007900739,-0.008638329,-0.009772851,-0.007980398,-0.008574701,-0.009070876,-0.00888852,0.028045066,-5.02351E-05,-0.009544567,-0.008700506,-0.003300533,-0.007620909,-0.004040075,-0.00808802,-5.02351E-05,-0.008305565,-0.000847007,-0.003082068,-0.000999754,-0.007842504,-0.000205099,-0.009032221,0.029470703,-0.008446078,-6.0799E-05,-0.000847007,-0.009544567,-5.02351E-05,-0.009070876,-5.02351E-05,-0.007955822,0.03483329,-0.007063085,0.039575048,-0.040854871,-0.002340861,-0.024679234,-0.026302557,0,-0.006882027,-0.022389724,-0.006588201,-0.005536077,-0.000535439,-0.09283555,-0.00082539,-0.006729009,-0.002036705,-0.003052689,-0.000736079,-0.002002001,0.003036305,-0.004929441,-0.008738025,0.036509666,-3.33678E-05
categories_Heels,0.008039894,0.008994288,-0.022922968,-0.022830081,-0.020492645,-0.004090901,-0.00030389,-0.000893,-0.002377098,-0.009509004,-0.00030389,-0.000820031,-0.000602323,-0.000857544,-0.007576666,-0.004502629,-0.000379261,-0.005876945,-0.0200096,-0.006808065,-0.020927024,-0.002938438,-0.003080838,-0.002938438,-0.009354623,-0.009437207,-0.00030389,-0.000657061,-0.009509004,-0.000227995,-0.000820031,-0.000602323,-0.000857544,-0.003080838,-0.000384861,-0.000379261,-0.005876945,-0.0200096,-0.006866431,-0.020575585,-0.003080838,-0.009908895,-0.002938438,-0.00572383,-0.003020624,-0.009354623,-0.002084679,-0.000893,0.093638437,-7.45725E-05,-0.00200991,-0.002938438,-0.000384861,-0.003080838,-0.000820031,-0.003080838,-0.020407897,0.04054951,-0.039907244,0.000580801,0.038060803,-0.004720503,-0.029437654,-0.030385899,-0.006882027,0,-0.026706701,-0.009786584,-0.008530708,-0.002566784,-0.000735236,-0.007058306,-0.009954541,0.069055007,-0.005569387,-0.00399891,0.050760841,-0.004720503,-0.007807996,-0.022350906,-0.024953009,-0.000232602
categories_Sandals,-0.099546801,0.052862901,-0.0569006,-0.05005849,-0.002760749,-0.003302433,-0.027444901,-0.035438908,0.050306928,-0.03096909,-0.033522288,0.405080349,-0.034493093,-0.03857688,-0.057083253,-0.020950494,-0.033767494,-0.023560028,-0.068384369,-0.054705577,-0.065367828,0.02367468,0.49354048,-0.042093409,-0.030433973,-0.030702648,-0.027444901,0.059004099,-0.03096909,-0.033275367,0.405080349,-0.034493093,-0.03857688,-0.042882037,-0.037039076,-0.033767494,-0.023560028,-0.068384369,-0.054872606,-0.064037566,0.49354048,-0.032269755,0.02367468,-0.047005204,-0.042686037,-0.030433973,-0.039640071,-0.035438908,-0.046266776,-0.03277623,-0.039430451,-0.042093409,-0.037039076,-0.042882037,0.405080349,0.49354048,-0.069680068,-0.203373908,0.032270201,0.027490327,-0.009037053,-0.034963661,-0.09577034,-0.002009685,-0.022389724,-0.026706701,0,-0.064372908,-0.060290385,-0.040884297,-0.360260794,-0.055496875,-0.03893237,0.09974645,-0.050652849,-0.000327989,0.0002634,-0.047894377,-0.04700892,0.009443474,-0.0730853,-0.004000033
categories_Slip-ons,-0.048659659,0.262764827,-0.224037834,-0.2083999,-0.049394769,-0.009862977,-0.024836047,-0.02625604,-0.029833334,-0.022944523,-0.024836047,-0.026082641,-0.025555476,-0.028580007,0.888302275,-0.034956639,-0.025007806,-0.038269245,-0.050664927,-0.040537929,-0.052852387,0.070802038,-0.03077064,-0.030086366,-0.022548062,-0.022747009,-0.024836047,-0.02809802,-0.022944523,-0.024653207,-0.026082641,-0.025555476,-0.028580007,0.66605027,0.575382889,-0.025007806,-0.038269245,-0.050664927,-0.040654269,-0.05200505,-0.03077064,-0.023908065,0.070802038,-0.03790008,-0.030625501,-0.022548062,-0.029369533,-0.02625604,-0.079330924,-0.024283404,-0.029203405,-0.030086366,0.575382889,0.66605027,-0.026082641,-0.03077064,-0.050624964,-0.359069264,0.406747228,-0.036033935,-0.357030731,-0.035484206,-0.070955501,-0.075650494,-0.006588201,-0.009786584,-0.064372908,0,-0.044668208,-0.030290546,-0.266902407,-0.03035201,-0.04809774,-0.054780009,-0.037527906,-0.033742506,-0.034823625,0.043968705,-0.042923784,0.026296897,-0.060046043,-0.002970046
categories_Slippers,-0.092602493,-0.066282271,-0.02285989,-0.006860963,-0.04088063,0.220805247,-0.023260037,-0.024590976,-0.027940302,-0.02048938,-0.023260037,-0.024428479,-0.023934746,-0.026768407,-0.039679326,-0.032739687,-0.023430085,-0.035842208,-0.047450755,-0.037967,-0.049500486,-0.029208525,-0.029755746,-0.029208525,-0.020008063,-0.020304496,-0.023260037,-0.026306043,-0.02048938,-0.0230897,-0.024428479,-0.023934746,-0.026768407,-0.029755746,-0.025700328,-0.023430085,-0.035842208,-0.047450755,-0.038075974,-0.048706888,-0.029755746,-0.022390908,-0.029208525,-0.03549655,-0.0296098,-0.020008063,-0.027506906,-0.024590976,3.92629E-05,-0.02274335,0.654008958,-0.029208525,-0.025700328,-0.029755746,-0.024428479,-0.029755746,-0.048350906,-0.042525731,0.07306336,0.002978954,-0.064345708,-0.020325469,-0.06645551,-0.070853673,-0.005536077,-0.008530708,-0.060290385,-0.044668208,0,-0.028369509,-0.24998481,-0.038509052,0.049085927,-0.032402081,-0.035047894,0.00200998,0.094673323,0.008445349,-0.040200556,0.030600349,-0.026875707,-0.002782622
categories_Sneakers,-0.083983046,-0.032499953,-0.040890726,-0.039034928,0.025505501,-0.006264039,-0.005773845,-0.006675706,-0.00894764,-0.004572443,-0.005773845,-0.006565504,0.266479098,-0.008052273,-0.026907464,-0.022200535,-0.005889226,-0.024305426,-0.02600028,-0.025746304,-0.033567409,-0.009806973,-0.020078056,-0.009806973,-0.004320644,-0.004447069,-0.005773845,-0.007845505,-0.004572443,-0.005657657,-0.006565504,0.266479098,-0.008052273,-0.020078056,-0.007428662,-0.005889226,-0.024305426,-0.02600028,-0.025820094,-0.03302926,-0.020078056,-0.005084468,-0.009806973,0.508646078,-0.020085876,-0.004320644,-0.008653073,-0.006675706,-0.004273209,0.800682602,-0.008553909,-0.009806973,-0.007428662,-0.020078056,-0.006565504,-0.020078056,-0.032787862,-0.073255607,0.029892357,-0.022949255,-0.00074358,-0.022536602,-0.045065,-0.048047506,-0.000535439,-0.002566784,-0.040884297,-0.030290546,-0.028369509,0,-0.069520458,-0.026003942,-0.030547665,-0.039008966,-0.023834596,-0.020430426,-0.022007056,-0.022536602,0.030824299,-0.034206086,0.020230289,-0.00088696
categories_other,0.360276682,-0.346085491,0.437384076,0.430950629,0.079775408,-0.05509796,0.089686831,-0.046940987,-0.004925028,-0.044840099,0.093049799,-0.045971,-0.043020728,0.000200269,-0.237000577,0.094677708,0.093730432,0.025600046,-0.060774053,0.050877267,-0.292484344,-0.077408865,-0.077803779,-0.074533896,-0.026089794,0.074230384,0.089686831,-0.008090601,-0.044840099,0.092364408,-0.045971,-0.043020728,0.000200269,-0.077803779,-0.053576838,0.093730432,0.025600046,-0.060774053,0.052303043,-0.287694331,-0.077803779,0.079002384,-0.077408865,-0.008062548,-0.074329547,-0.026089794,-0.007057479,-0.046940987,0.354967041,-0.035900602,-0.0634923,-0.074533896,-0.053576838,-0.077803779,-0.045971,-0.077803779,-0.288908003,0.560484954,-0.607988077,-0.026389345,0.575492689,-0.007308501,-0.39700005,-0.423382024,-0.09283555,-0.000735236,-0.360260794,-0.266902407,-0.24998481,-0.069520458,0,0.002033094,-0.008538525,0.0557942,0.036075927,0.063866887,-0.080770604,-0.084000509,0.096969023,-2.07205E-05,0.050594032,3.0065E-05
colors_Beige,0.02264646,0.03250901,-0.027258093,-0.027728093,0.009442783,-0.008503023,0.050004405,-0.02263581,-0.002953245,-0.009780823,-0.02040062,-0.022486243,-0.022030766,-0.024640031,-0.036524541,0.028550084,-0.003567504,-0.0329925,-0.043679006,0.078480648,-0.045564849,0.002200496,-0.027389954,0.038560069,-0.009439028,-0.00973404,0.050004405,-8.02003E-08,-0.009780823,-0.020253906,-0.022486243,-0.022030766,-0.024640031,-0.027389954,-0.023657891,-0.003567504,-0.0329925,-0.043679006,0.0780784,-0.044834347,-0.027389954,-0.020600594,0.002200496,-0.002470406,0.037300393,-0.009439028,0.0363047,-0.02263581,0.045906782,-0.020935093,-0.025085331,0.038560069,-0.023657891,-0.027389954,-0.022486243,-0.027389954,-0.044506669,0.062067208,-0.0808977,-0.002094034,0.083087405,-0.000305006,-0.023079453,-0.029025974,-0.00082539,-0.007058306,-0.055496875,-0.03035201,-0.038509052,-0.026003942,0.002033094,0,-0.040465797,-0.053087008,-0.032353389,-0.029089938,-0.030020978,-0.030590476,-0.037005249,-0.046445495,-0.050852908,-0.002560384
colors_Blue,0.006508629,0.009590421,-0.024592993,-0.025390378,0.036064623,-0.009946698,-0.00935377,-0.026479004,-0.000378955,0.060636782,-0.025046966,-0.026304041,-0.0257724,0.039643569,-0.042725804,0.005549084,-0.025230078,0.002859309,0.008930506,-0.006334643,0.035326276,-0.030450089,0.000246054,0.025202806,0.066976248,0.028357259,-0.00935377,-0.007455083,0.060636782,-0.024862474,-0.026304041,-0.0257724,0.039643569,-0.032040323,-0.027674607,-0.025230078,0.002859309,0.008930506,-0.006507532,0.037466326,0.000246054,-0.024000007,-0.030450089,-0.038220893,0.02400494,0.066976248,0.000396201,-0.026479004,-0.040339488,-0.024489531,0.097906092,0.025202806,-0.027674607,-0.032040323,-0.026304041,0.000246054,0.034505872,-0.030527379,0.006363646,-0.003609771,-0.020965093,0.009864765,0.04535,0.029093304,-0.006729009,-0.009954541,-0.03893237,-0.04809774,0.049085927,-0.030547665,-0.008538525,-0.040465797,0,-0.06200033,-0.037846468,-0.034028937,-0.035009222,-0.0357854,-0.043288039,-0.054330085,-0.060656688,-0.002996266
colors_Brown,0.022402261,0.008320683,-0.000480371,-0.003442049,0.008660095,0.002984344,-0.003036323,-0.033900034,-0.002004408,-0.0296243,-0.006826207,0.080636307,-0.032995385,0.000640395,-0.054700068,-0.026975932,-0.007239364,-0.045243466,-0.065404895,-4.06238E-06,-0.068239085,0.057060678,-0.00620968,-0.040265584,-0.029002429,-0.022494007,-0.003036323,-0.008290606,-0.0296243,-0.006407488,0.080636307,-0.032995385,0.000640395,-0.040009958,-0.035430707,-0.007239364,-0.045243466,-0.065404895,-0.000300353,-0.067045066,-0.00620968,-0.030868496,0.057060678,-0.048933977,-0.040832564,-0.029002429,-0.03255658,-0.033900034,0.039709308,-0.030352978,-0.037708251,-0.040265584,-0.035430707,-0.040009958,0.080636307,-0.00620968,-0.066654425,0.080692204,-0.026563346,0.028029524,0.009470266,0.002364207,-0.090602633,-0.030249694,-0.002036705,0.069055007,0.09974645,-0.054780009,-0.032402081,-0.039008966,0.0557942,-0.053087008,-0.06200033,0,-0.048453335,-0.0435659,-0.04496075,-0.045804645,-0.05542009,-0.069558065,-0.077656357,-0.003836
colors_Gray,0.060834633,-0.068638096,0.007700994,0.003404482,-0.007952658,-0.007760839,-0.009542705,-0.02066006,-0.006940707,-0.008054261,-0.009542705,-0.020523539,-0.02000873,-0.022489425,-0.033336508,0.000908328,0.009728528,0.054659095,-0.024758605,-0.003362823,-0.040587737,0.030903301,-0.02499923,-0.024539485,-0.007742299,-0.007898931,-0.009542705,-0.00459045,-0.008054261,-0.009398766,-0.020523539,-0.02000873,-0.022489425,-0.02499923,-0.020592921,0.009728528,0.054659095,-0.024758605,-0.00350387,-0.040920996,-0.02499923,-0.008802508,0.030903301,0.003080872,-0.024885026,-0.007742299,-0.023009881,-0.02066006,0.084420409,-0.009007781,-0.022987037,-0.024539485,-0.020592921,-0.02499923,-0.020523539,-0.02499923,-0.040620909,0.078804248,-0.085483092,0.005987043,0.06605697,0.028005334,-0.055832467,-0.052358662,-0.003052689,-0.005569387,-0.050652849,-0.037527906,-0.035047894,-0.023834596,0.036075927,-0.032353389,-0.037846468,-0.048453335,0,-0.026550832,-0.02740051,-0.027920309,-0.033775258,-0.042390505,-0.047326944,-0.002337805
colors_Green,0.035080384,-0.042048046,0.072669424,0.074265808,0.060935306,0.020229086,0.0042726,0.064098795,-0.02000695,-0.006233047,-0.007570463,-0.008453352,-0.008080385,-0.02022094,-0.02997389,-0.024730666,-0.007699993,-0.009862708,-0.035845209,0.087492933,-0.037392827,-0.022064204,0.037774832,-0.022064204,-0.005952653,0.090000432,0.0042726,-0.009879224,-0.006233047,-0.007442034,-0.008453352,-0.008080385,-0.02022094,-0.022477586,-0.009404866,-0.007699993,-0.009862708,-0.035845209,0.087000347,-0.03679334,0.037774832,0.00575577,-0.022064204,-0.026804208,-0.022374901,-0.005952653,0.062769331,0.064098795,0.046807263,-0.0070804,-0.02066836,-0.022064204,-0.009404866,-0.022477586,-0.008453352,0.037774832,-0.036524431,0.048200089,-0.067635403,-0.025564597,0.072406494,-0.000866303,-0.006820047,-0.053523093,-0.000736079,-0.00399891,-0.000327989,-0.033742506,0.00200998,-0.020430426,0.063866887,-0.029089938,-0.034028937,-0.0435659,-0.026550832,0,-0.024637559,-0.025004907,-0.030368385,-0.038005529,-0.042553027,-0.002002001
colors_Pink,-0.033538669,0.020523583,-0.024842301,-0.025792799,0.002646483,-0.007200587,-0.008034451,-0.00907028,0.003700979,0.020663286,-0.008034451,-0.009044597,-0.00865968,-0.020868809,-0.030934253,-0.025524067,-0.0082671,-0.006944904,0.065709207,-0.006336077,0.075920003,-0.022770051,0.035272724,-0.022770051,0.0300297,-0.00660901,-0.008034451,0.007092055,0.020663286,-0.008000876,-0.009044597,-0.00865968,-0.020868809,-0.023097767,-0.020036908,-0.0082671,-0.006944904,0.065709207,-0.006456448,0.078099666,0.035272724,-0.007456873,-0.022770051,-0.027673334,-0.023090791,0.0300297,-0.020444565,-0.00907028,-0.06380055,-0.007730859,0.050704828,-0.022770051,-0.020036908,-0.023097767,-0.009044597,0.035272724,0.079240038,-0.077623761,0.054962,-0.008994722,-0.060500395,0.049260847,0.06056793,0.029405288,-0.002002001,0.050760841,0.0002634,-0.034823625,0.094673323,-0.022007056,-0.080770604,-0.030020978,-0.035009222,-0.04496075,-0.02740051,-0.024637559,0,-0.025909278,-0.030340387,-0.039336749,-0.043906527,-0.00206935
colors_Red,-0.064490892,0.039096075,-0.043022046,-0.04080548,-0.020452643,0.008597457,0.002344727,0.03827778,-0.022096429,-0.007070055,0.043990081,-0.00940586,-0.009003641,-0.020264687,-0.030520056,-0.026008241,0.033075992,-0.028472868,0.048048439,0.00543963,-0.039322936,0.244080835,-0.023637804,-0.023203005,-0.006776082,-0.005579806,0.002344727,-0.020905331,-0.007070055,0.044578951,-0.00940586,-0.009003641,-0.020264687,-0.023637804,-0.020407005,0.033075992,-0.028472868,0.048048439,0.005230281,-0.038692505,-0.023637804,0.004628726,0.244080835,-0.007382757,-0.023529828,-0.006776082,-0.00300208,0.03827778,-0.090720095,-0.008067201,-0.020735201,-0.023203005,-0.020407005,-0.023637804,-0.00940586,-0.023637804,-0.038409705,0.074502696,0.08332748,0.030082095,-0.078606907,-0.02640076,0.050064369,-0.056285799,0.003036305,-0.004720503,-0.047894377,0.043968705,0.008445349,-0.022536602,-0.084000509,-0.030590476,-0.0357854,-0.045804645,-0.027920309,-0.025004907,-0.025909278,0,-0.030935902,-0.040082941,-0.044749595,-0.0022005
